Top pages,Clicks,Impressions,CTR,Position
https://9takes.com/personality-analysis/John-F-Kennedy,12,2992,0.4%,7.03
https://9takes.com/enneagram-corner/enneagram-type-4,12,2328,0.52%,46.48
https://9takes.com/personality-analysis/Lex-Fridman,12,1729,0.69%,6.44
https://9takes.com/personality-analysis/Jerad-Leto,12,1035,1.16%,6.12
https://9takes.com/enneagram-corner/enneagram-types-being-ghosted,12,224,5.36%,11.29
https://9takes.com/enneagram-corner/mental-health/enneagram-neurodivergence-guide,12,221,5.43%,8.1
https://9takes.com/personality-analysis/type/2,11,3781,0.29%,15.53
https://9takes.com/personality-analysis/Druski,11,1502,0.73%,7.41
https://9takes.com/enneagram-corner/attachment-styles-and-enneagram-types,11,1233,0.89%,9.45
https://9takes.com/personality-analysis/Nikola-Tesla,10,2996,0.33%,8.83
https://9takes.com/personality-analysis/Ryan-Reynolds,10,2144,0.47%,5.9
https://9takes.com/personality-analysis/Paris-Hilton,10,1642,0.61%,8.34
https://9takes.com/personality-analysis/Friedrich-Nietzsche,10,1576,0.63%,8.08
https://9takes.com/personality-analysis/Alexandria-Ocasio-Cortez,10,1271,0.79%,9.02
https://9takes.com/enneagram-corner/enneagram-type-6,10,1146,0.87%,18.58
https://9takes.com/personality-analysis/Zendaya,9,5229,0.17%,6.25
https://9takes.com/personality-analysis/Billie-Eilish,9,5021,0.18%,6.42
https://9takes.com/personality-analysis/Olivia-Rodrigo,9,4509,0.2%,5.97
https://9takes.com/personality-analysis/Jeff-Bezos,9,3968,0.23%,8.8
https://9takes.com/personality-analysis/Dwayne-Johnson,9,3676,0.24%,7.38
https://9takes.com/personality-analysis/Michelle-Obama,9,1975,0.46%,7.67
https://9takes.com/personality-analysis/Eminem,9,1338,0.67%,8.37
https://9takes.com/personality-analysis/Anne-Hathaway,9,1173,0.77%,7.71
https://9takes.com/enneagram-corner/enneagram-type-9,9,1127,0.8%,33.01
https://9takes.com/personality-analysis/Zoe-Kravitz,9,986,0.91%,5.97
https://9takes.com/personality-analysis/Selena-Gomez,8,5827,0.14%,5.94
https://9takes.com/personality-analysis/Johnny-Depp,8,3977,0.2%,8.03
https://9takes.com/personality-analysis/Ariana-Grande,8,2787,0.29%,9.53
https://9takes.com/personality-analysis/Meryl-Streep,8,2129,0.38%,5.58
https://9takes.com/enneagram-corner/enneagram-type-7,8,1369,0.58%,45.77
https://9takes.com/enneagram-corner/enneagram-childhood-stereotypes,8,547,1.46%,17.16
https://9takes.com/enneagram-corner/first-impression-cheat-sheet,8,248,3.23%,7.63
https://9takes.com/personality-analysis/Tom-Holland,7,2665,0.26%,8.35
https://9takes.com/enneagram-corner/enneagram-type-3,7,2330,0.3%,42.39
https://9takes.com/personality-analysis/Joe-Rogan,7,2091,0.33%,3.93
https://9takes.com/personality-analysis/Miley-Cyrus,7,1693,0.41%,6.98
https://9takes.com/personality-analysis/Palmer-Luckey,7,840,0.83%,6.68
https://9takes.com/personality-analysis/Ronald-Reagan,7,538,1.3%,11.98
https://9takes.com/personality-analysis,7,469,1.49%,15.05
https://9takes.com/enneagram-corner/beginners-guide-to-determining-your-enneagram-type,7,450,1.56%,22.32
https://9takes.com/personality-analysis/Nancy-Pelosi,7,282,2.48%,7.07
https://9takes.com/personality-analysis/Chelsea-Handler,7,242,2.89%,7.74
https://9takes.com/personality-analysis/type/8,6,3056,0.2%,13.22
https://9takes.com/personality-analysis/Steve-Jobs,6,2994,0.2%,10.06
https://9takes.com/personality-analysis/type/6,6,2748,0.22%,21.61
https://9takes.com/personality-analysis/Kevin-Hart,6,2583,0.23%,4.31
https://9takes.com/personality-analysis/Beyonce-Knowles,6,2468,0.24%,9.03
https://9takes.com/personality-analysis/Lady-Gaga,6,1987,0.3%,5.91
https://9takes.com/enneagram-corner/enneagram-type-1,6,1792,0.33%,40.21
https://9takes.com/personality-analysis/Denzel-Washington,6,1623,0.37%,6.48
https://9takes.com/personality-analysis/Tom-Cruise,6,1551,0.39%,9.38
https://9takes.com/personality-analysis/Kristen-Bell,6,1019,0.59%,6.04
https://9takes.com/personality-analysis/Barack-Obama,6,965,0.62%,9.09
https://9takes.com/personality-analysis/Robert-Greene,6,683,0.88%,8.83
https://9takes.com/personality-analysis/Pete-Davidson,6,634,0.95%,7.53
https://9takes.com/personality-analysis/type/1,6,593,1.01%,21.14
https://9takes.com/pop-culture/dark-triad-meets-enneagram,6,217,2.76%,8.36
https://9takes.com/enneagram-corner/enneagram-party-planner,6,183,3.28%,8.56
https://9takes.com/personality-analysis/Rihanna,5,2214,0.23%,8.73
https://9takes.com/personality-analysis/Tom-Hanks,5,1840,0.27%,6.98
https://9takes.com/personality-analysis/Leonardo-DiCaprio,5,1771,0.28%,9.35
https://9takes.com/enneagram-corner/enneagram-wings-complete-guide,5,1697,0.29%,17.84
https://9takes.com/personality-analysis/Khloe-Kardashian,5,1622,0.31%,9.77
https://9takes.com/personality-analysis/Harry-Styles,5,1343,0.37%,9.8
https://9takes.com/personality-analysis/Taylor-Swift,5,1220,0.41%,10.52
https://9takes.com/personality-analysis/Kendrick-Lamar,5,1045,0.48%,9.6
https://9takes.com/enneagram-corner/enneagram-types-working-in-teams,5,985,0.51%,29.03
https://9takes.com/personality-analysis/Prince,5,930,0.54%,7.56
https://9takes.com/enneagram-corner/mental-health/enneagram-science-mental-health,5,837,0.6%,11.66
https://9takes.com/personality-analysis/Dave-Portnoy,5,836,0.6%,6.02
https://9takes.com/personality-analysis/type/7,5,811,0.62%,15.09
https://9takes.com/personality-analysis/Miles-Teller,5,743,0.67%,8.66
https://9takes.com/personality-analysis/Alex-Cooper,5,712,0.7%,7.13
https://9takes.com/enneagram-corner/enneagram-team-dynamics,5,572,0.87%,33.88
https://9takes.com/personality-analysis/Rooney-Mara,5,434,1.15%,8
https://9takes.com/personality-analysis/Grimes,5,353,1.42%,8.03
https://9takes.com/enneagram-corner/enneagram-dating-guide-for-men,5,83,6.02%,12.49
https://9takes.com/personality-analysis/Henry-Cavill,4,2721,0.15%,6.87
https://9takes.com/personality-analysis/Kim-Kardashian,4,2607,0.15%,7.8
https://9takes.com/personality-analysis/Oprah-Winfrey,4,1703,0.23%,8.38
https://9takes.com/personality-analysis/Martin-Luther-King-Jr,4,1289,0.31%,9.55
https://9takes.com/personality-analysis/Frida-Kahlo,4,1256,0.32%,7.95
https://9takes.com/personality-analysis/Kanye,4,1241,0.32%,10.25
https://9takes.com/personality-analysis/type/3,4,1233,0.32%,10.59
https://9takes.com/personality-analysis/Jon-Stewart,4,953,0.42%,6.19
https://9takes.com/enneagram-corner/relationship-communication-guide,4,906,0.44%,37.94
https://9takes.com/personality-analysis/Adin-Ross,4,816,0.49%,9.18
https://9takes.com/personality-analysis/Demi-Lovato,4,783,0.51%,7.36
https://9takes.com/personality-analysis/Trevor-Noah,4,680,0.59%,9.03
https://9takes.com/enneagram-corner/enneagram-anxiety-complete-guide,4,652,0.61%,6.93
https://9takes.com/personality-analysis/Elton-John,4,611,0.65%,7.88
https://9takes.com/enneagram-corner/enneagram-compatibility-matrix,4,589,0.68%,9.5
https://9takes.com/personality-analysis/Mikey-Madison,4,440,0.91%,9.18
https://9takes.com/personality-analysis/Doechii,4,304,1.32%,8.15
https://9takes.com/personality-analysis/Robert-Downey-Jr,3,2822,0.11%,8.99
https://9takes.com/enneagram-corner/enneagram-tldr,3,2606,0.12%,51.27
https://9takes.com/enneagram-corner/enneagram-type-2,3,1607,0.19%,46.02
https://9takes.com/personality-analysis/Natalie-Portman,3,1524,0.2%,8.55
https://9takes.com/personality-analysis/Katy-Perry,3,1022,0.29%,7.84
https://9takes.com/personality-analysis/Ellen-Degeneres,3,783,0.38%,7.92
https://9takes.com/personality-analysis/Arnold-Schwarzenegger,3,750,0.4%,9.34
https://9takes.com/personality-analysis/Logan-Paul,3,589,0.51%,10.61
https://9takes.com/personality-analysis/Donald-Trump,3,570,0.53%,10.92
https://9takes.com/personality-analysis/Jennifer-Lopez,3,428,0.7%,7.59
https://9takes.com/personality-analysis/Robert-Oppenheimer,3,346,0.87%,9.47
https://9takes.com/personality-analysis/Jack-Dorsey,3,314,0.96%,7.85
https://9takes.com/how-to-guides/5-tough-conversations-you-need-to-have-with-your-partner,3,257,1.17%,18.96
https://9takes.com/enneagram-corner/how-each-enneagram-flexes,3,200,1.5%,9.74
https://9takes.com/personality-analysis/Joe-Biden,3,193,1.55%,8.77
https://9takes.com/personality-analysis/George-H-W-Bush,3,184,1.63%,10.53
https://9takes.com/about,3,106,2.83%,3.03
https://9takes.com/enneagram-corner/enneagram-therapy-guide,3,79,3.8%,7.94
https://9takes.com/personality-analysis/Will-Smith,2,2147,0.09%,7.79
https://9takes.com/personality-analysis/Millie-Bobby-Brown,2,1354,0.15%,8.99
https://9takes.com/personality-analysis/type/5,2,807,0.25%,14.52
https://9takes.com/enneagram-corner/enneagram-workplace-team-building,2,760,0.26%,43.2
https://9takes.com/personality-analysis/Kamala-Harris,2,584,0.34%,8.34
https://9takes.com/personality-analysis/Charlie-Puth,2,479,0.42%,4.85
https://9takes.com/personality-analysis/Jake-Paul,2,390,0.51%,10.1
https://9takes.com/enneagram-corner/enneagram-personal-growth,2,329,0.61%,27.77
https://9takes.com/enneagram-corner/mental-health/enneagram-trauma-response-guide,2,226,0.88%,8.59
https://9takes.com/personality-analysis/Casey-Neistat,2,223,0.9%,12.05
https://9takes.com/personality-analysis/Saoirse-Ronan,2,210,0.95%,7.54
https://9takes.com/enneagram-corner/philosophy-psychology-and-the-enneagram,2,186,1.08%,11.32
https://9takes.com/enneagram-corner/enneagram-stress-number,2,174,1.15%,26.86
https://9takes.com/personality-analysis/Emma-Chamberlain,2,151,1.32%,9.22
https://9takes.com/enneagram-corner/enneagram-criticisms,2,133,1.5%,15.97
https://9takes.com/enneagram-corner/personality-maxing,2,111,1.8%,8.18
https://9takes.com/enneagram-corner/how-to-navigate-early-relationship-stages,2,90,2.22%,17.3
https://9takes.com/enneagram-corner,2,77,2.6%,19.6
https://9takes.com/enneagram-corner/enneagram-anxiety-management-guide,2,48,4.17%,9.62
https://9takes.com/enneagram-corner/subtopic/situational,2,38,5.26%,10.05
https://9takes.com/enneagram-corner/mental-health,2,21,9.52%,12.67
https://9takes.com/personality-analysis/Bill-Gates,1,3112,0.03%,8.78
https://9takes.com/enneagram-corner/enneagram-and-mental-illness#type-1-perfectionism-and-obsessive-compulsive-tendencies,1,1823,0.05%,5.6
https://9takes.com/personality-analysis/Travis-Scott,1,1160,0.09%,6.99
https://9takes.com/enneagram-corner/subtopic/nine-types,1,909,0.11%,50.31
https://9takes.com/enneagram-corner/enneagram-vs-meyers-briggs,1,600,0.17%,22
https://9takes.com/personality-analysis/Jennifer-Garner,1,578,0.17%,7.05
https://9takes.com/personality-analysis/Mr-Rogers,1,465,0.22%,8.51
https://9takes.com/how-to-guides/using-the-enneagram-for-self-development,1,424,0.24%,24.94
https://9takes.com/enneagram-corner/enneagram-connecting-lines,1,349,0.29%,17.45
https://9takes.com/personality-analysis/George-W-Bush,1,276,0.36%,10.12
https://9takes.com/personality-analysis/Ruth-Bader-Ginsburg,1,276,0.36%,11.78
https://9takes.com/personality-analysis/Emily-Ratajkowski,1,244,0.41%,7.84
https://9takes.com/personality-analysis/Agatha-Christie#toc-why-did-agatha-christie-disappear-the-psychological-mystery-behind-her-famous-vanishing-act,1,233,0.43%,5.95
https://9takes.com/personality-analysis/Nancy-Pelosi#toc-what-is-nancy-pelosis-personality-type,1,137,0.73%,6.37
https://9takes.com/enneagram-corner/enneagram-concepts,1,135,0.74%,20.61
https://9takes.com/enneagram-corner/90-day-personality-maxing-blueprint,1,107,0.93%,6.45
https://9takes.com/blog,1,71,1.41%,2.55
https://9takes.com/enneagram-corner/enneagram-dating-guide-for-women,1,62,1.61%,16.85
https://9takes.com/how-to-guides/productivity-systems-by-enneagram-type,1,61,1.64%,7.34
https://9takes.com/enneagram-corner/how-each-enneagram-type-unwinds,1,46,2.17%,8.04
https://9takes.com/enneagram-corner/enneagram-crisis-management-guide,1,32,3.12%,6.53
https://9takes.com/how-to-guides/dating-dynamics-by-enneagram-type,1,23,4.35%,11.09
https://9takes.com/community/why-im-selective-sharing-enneagram,1,10,10%,11.2
https://9takes.com/enneagram-corner/astrology-and-the-enneagram#enneagram-wings-and-astrological-aspects,0,1912,0%,7.46
https://9takes.com/enneagram-corner/enneagram-and-mental-illness#type-6-anxiety-disorders-and-paranoid-thinking,0,1690,0%,5.48
https://9takes.com/enneagram-corner/enneagram-and-mental-illness#type-4-chronic-depression-and-identity-issues,0,1636,0%,5.77
https://9takes.com/enneagram-corner/enneagram-and-mental-illness#type-3-narcissistic-traits-and-imposter-syndrome,0,1519,0%,5.58
https://9takes.com/enneagram-corner/enneagram-and-mental-illness#type-5-social-isolation-and-schizoid-tendencies,0,1472,0%,5.59
https://9takes.com/personality-analysis/Sabrina-Carpenter#toc-the-achievers-ascent-sabrinas-path-to-stardom,0,1441,0%,5.47
https://9takes.com/enneagram-corner/enneagram-and-mental-illness#type-2-codependency-and-emotional-manipulation,0,1431,0%,5.79
https://9takes.com/personality-analysis/Elon-Musk#toc-decoding-elons-mind,0,1335,0%,6.11
https://9takes.com/personality-analysis/Elon-Musk#toc-why-is-elon-musk-a-type-5-the-investigators-fingerprints,0,1335,0%,6.11
https://9takes.com/enneagram-corner/enneagram-instinctual-subtypes#detailed-breakdown-each-enneagram-type-and-its-subtypes,0,1280,0%,9.39
https://9takes.com/enneagram-corner/enneagram-instinctual-subtypes#why-instinctual-subtypes-matter,0,1280,0%,9.39
https://9takes.com/enneagram-corner/astrology-and-the-enneagram#planetary-influences-and-enneagram-types,0,1264,0%,7.83
https://9takes.com/enneagram-corner/astrology-and-the-enneagram#enneagram-and-astrological-houses,0,1235,0%,7.9
https://9takes.com/personality-analysis/Jenna-Ortega#toc-behind-the-mask-jennas-internal-landscape,0,1234,0%,8.7
https://9takes.com/enneagram-corner/astrology-and-the-enneagram#mapping-enneagram-types-to-astrological-signs,0,1187,0%,7.39
https://9takes.com/community/software-and-hardware-of-the-mind,0,1113,0%,8.89
https://9takes.com/personality-analysis/Selena-Gomez#toc-unique-ways-selenas-type-9-personality-manifests,0,1040,0%,8.74
https://9takes.com/personality-analysis/Selena-Gomez#toc-what-is-selena-gomezs-personality-type,0,1038,0%,8.74
https://9takes.com/personality-analysis/Jenna-Ortega#toc-the-seeds-of-achievement-jennas-early-drive,0,1033,0%,8.61
https://9takes.com/personality-analysis/Sabrina-Carpenter#toc-in-her-own-words-sabrina-on-work-ethic-and-ambition,0,989,0%,5.53
https://9takes.com/enneagram-corner/enneagram-and-mental-illness#important-context-and-disclaimer,0,980,0%,5.41
https://9takes.com/personality-analysis/Jenna-Ortega#toc-jennas-type-3-toolkit-coping-mechanisms-and-strengths,0,946,0%,8.54
https://9takes.com/personality-analysis/Elon-Musk#toc-common-mistypings-why-other-types-dont-fit,0,945,0%,6.39
https://9takes.com/personality-analysis/Jennifer-Lawrence#toc-jennifer-lawrence-vs-hollywood-when-a-type-7-challenges-the-system,0,919,0%,6.22
https://9takes.com/personality-analysis/Jennifer-Lawrence#toc-from-oscar-falls-to-motherhood-jennifers-evolution-as-a-type-7,0,915,0%,6.22
https://9takes.com/personality-analysis/Jenna-Ortega#toc-the-achievers-inner-monologue-jennas-thought-patterns,0,896,0%,8.79
https://9takes.com/personality-analysis/Keanu-Reeves#toc-the-reluctant-celebrity-how-keanus-type-9-nature-shapes-his-fame,0,871,0%,9.28
https://9takes.com/personality-analysis/Keanu-Reeves#toc-the-sad-keanu-phenomenon-type-9-in-solitude,0,817,0%,9.35
https://9takes.com/enneagram-corner/astrology-and-the-enneagram#quick-answer,0,768,0%,7.47
https://9takes.com/personality-analysis/Jennifer-Lawrence#toc-from-kentucky-to-katniss-how-jennifer-lawrences-childhood-shaped-her-enthusiast-spirit,0,760,0%,6.37
https://9takes.com/enneagram-corner/astrology-and-the-enneagram#zodiac-sign-to-enneagram-quick-reference,0,760,0%,7.49
https://9takes.com/personality-analysis/Keanu-Reeves#toc-keanus-type-9-leadership-style-the-set-stories,0,744,0%,9.41
https://9takes.com/enneagram-corner/toxic-traits-of-each-enneagram-type#type-1-the-righteous-critic-whos-never-wrong,0,667,0%,7.64
https://9takes.com/enneagram-corner/enneagram-and-mental-illness#quick-answer,0,666,0%,5.14
https://9takes.com/personality-analysis/Sabrina-Carpenter#toc-the-digital-achiever-sabrinas-social-media-mastery,0,659,0%,6.1
https://9takes.com/enneagram-corner/enneagram-and-mental-illness#mental-health-risk-overview-by-type,0,624,0%,4.63
https://9takes.com/enneagram-corner/toxic-traits-of-each-enneagram-type#type-6-the-paranoid-overthinker-preparing-for-disasters,0,618,0%,7.66
https://9takes.com/enneagram-corner/toxic-traits-of-each-enneagram-type#type-2-the-helper-with-hidden-hooks,0,609,0%,7.73
https://9takes.com/personality-analysis/Elon-Musk#toc-inside-the-mind-the-habits-and-quirks-of-a-modern-genius,0,604,0%,5.82
https://9takes.com/enneagram-corner/toxic-traits-of-each-enneagram-type#the-darker-side-of-personality-why-everyone-has-toxic-traits,0,594,0%,7.31
https://9takes.com/personality-analysis/Bob-Dylan#toc-decoding-dylan-the-man-beneath-the-myth,0,581,0%,6.36
https://9takes.com/personality-analysis/Elon-Musk#toc-beyond-basic-type-wings-and-stressgrowth-patterns,0,578,0%,5.69
https://9takes.com/personality-analysis/Jennifer-Lawrence#toc-i-beat-meryl-the-unfiltered-humor-that-defines-jennifers-type-7-communication-style,0,564,0%,6.29
https://9takes.com/enneagram-corner/enneagram-strengths-and-weaknesses#understanding-your-energizers-and-drainers,0,552,0%,9.53
https://9takes.com/enneagram-corner/enneagram-strengths-and-weaknesses#working-with-your-weaknesses-a-strategic-approach,0,552,0%,9.53
https://9takes.com/personality-analysis/Aubrey-Plaza#toc-is-this-going-to-work-out-how-aubrey-plazas-childhood-shaped-her-enneagram-type-6-vigilance,0,539,0%,5.92
https://9takes.com/enneagram-corner/enneagram-strengths-and-weaknesses#strengths-in-different-contexts,0,523,0%,9.5
https://9takes.com/enneagram-corner/toxic-traits-of-each-enneagram-type#type-4-the-emotional-vampire-who-drains-your-energy,0,521,0%,7.69
https://9takes.com/personality-analysis/Bob-Dylan#toc-reinvention-as-ritual-dylans-many-masks,0,512,0%,6.41
https://9takes.com/personality-analysis/Aubrey-Plaza#toc-i-was-like-being-a-persona-how-plazas-type-6-personality-shows-up-in-her-acting-choices,0,487,0%,5.94
https://9takes.com/personality-analysis/Kourtney-Kardashian#toc-the-perfectionist-queen-how-kourtney-embodies-type-1-traits,0,481,0%,5.84
https://9takes.com/personality-analysis/Sabrina-Carpenter#toc-navigating-storms-sabrinas-response-to-setbacks,0,473,0%,5.3
https://9takes.com/personality-analysis/Sydney-Sweeney#toc-beyond-the-screen-the-hidden-dimensions-of-sydney-sweeney,0,472,0%,8.25
https://9takes.com/personality-analysis/Sydney-Sweeney#toc-what-is-sydney-sweeneys-personality-type,0,470,0%,8.09
https://9takes.com/enneagram-corner/love-languages-and-enneagram-types,0,470,0%,9.76
https://9takes.com/personality-analysis/Sam-Altman#toc-sam-altmans-type-4-unique-vision-creating-what-doesnt-exist,0,469,0%,4.89
https://9takes.com/personality-analysis/Sam-Altman#toc-what-is-sam-altmans-personality-type,0,469,0%,4.89
https://9takes.com/personality-analysis/Jenna-Ortega#toc-beyond-the-spotlight-jennas-values-and-vision,0,467,0%,8.9
https://9takes.com/personality-analysis/Jenna-Ortega#toc-wednesdays-challenge-finding-her-voice,0,467,0%,8.91
https://9takes.com/personality-analysis/Nikola-Tesla#toc-the-spark-teslas-educational-journey,0,464,0%,8.47
https://9takes.com/personality-analysis/Jenna-Ortega#toc-the-achievers-evolving-image-from-disney-to-darkness,0,464,0%,8.92
https://9takes.com/personality-analysis/Kourtney-Kardashian#toc-moving-through-the-world-kourtneys-type-1-journey-today,0,452,0%,5.88
https://9takes.com/personality-analysis/Alexandria-Ocasio-Cortez#toc-personality-quirks-and-habits-the-aoc-way,0,448,0%,6.39
https://9takes.com/personality-analysis/Sabrina-Carpenter#toc-understanding-the-enneagram-type-3-the-achiever,0,434,0%,5.51
https://9takes.com/enneagram-corner/enneagram-influences,0,428,0%,33.63
https://9takes.com/personality-analysis/Jennifer-Lawrence#toc-i-should-say-something-but-i-really-dont-care-the-type-7-authenticity-that-made-her-americas-sweetheart,0,423,0%,6.54
https://9takes.com/personality-analysis/Jennifer-Lawrence#toc-the-shadow-side-jennifers-anxiety-and-type-7s-fear-of-missing-out,0,423,0%,6.54
https://9takes.com/personality-analysis/Mr-Beast#toc-who-is-mrbeast-understanding-youtubes-biggest-content-creator,0,420,0%,4.5
https://9takes.com/personality-analysis/Kourtney-Kardashian#toc-from-reality-star-to-wellness-guru-kourtneys-rise-to-fame-as-a-type-1,0,419,0%,5.92
https://9takes.com/personality-analysis/Keanu-Reeves#toc-the-philosophical-keanu-type-9-contemplation-in-plain-sight,0,414,0%,9.82
https://9takes.com/personality-analysis/Mr-Beast#toc-what-is-mrbeast-like-in-real-life,0,412,0%,4.49
https://9takes.com/personality-analysis/IShowSpeed#toc-the-evolution-of-speed-a-challenger-growing-up-in-public,0,409,0%,7.91
https://9takes.com/enneagram-corner/toxic-traits-of-each-enneagram-type#type-3-the-success-addict-with-empty-achievements,0,405,0%,7.69
https://9takes.com/personality-analysis/Amber-Heard,0,404,0%,10.61
https://9takes.com/personality-analysis/Aubrey-Plaza#toc-im-way-more-socially-anxious-than-people-think-the-inner-world-of-aubrey-plazas-type-6-mind,0,402,0%,5.95
https://9takes.com/personality-analysis/John-F-Kennedy#toc-what-was-john-f-kennedys-personality-type,0,402,0%,9.27
https://9takes.com/personality-analysis/Elon-Musk#toc-from-paypal-to-mars-building-an-empire,0,398,0%,5.92
https://9takes.com/personality-analysis/Sabrina-Carpenter#toc-networking-to-the-top-the-sabrina-taylor-connection,0,394,0%,5.83
https://9takes.com/personality-analysis/John-F-Kennedy#toc-personality-quirks-and-habits-the-jfk-charm-offensive,0,389,0%,9.35
